ID,FIRST YEAR RANK,SECOND YEAR RANK C,THIRD YEAR RANK C,FOURTH YEAR RANK C
1369,94,86,62,72
1371,226,413,396,229
1372,786,732,741,637
1374,11,7,8,4
1375,50,63,65,54
1380,538,466,435,290
1381,219,149,134,80
1384,140,147,212,175
1385,623,573,547,389
1387,874,781,695,569
1389,26,89,149,66
1390,681,698,733,662
1391,975,972,948,
1392,954,937,904,
1393,822,742,711,609
1394,253,270,371,279
1395,412,510,540,497
1396,591,573,588,473
1399,392,578,631,587
1400,551,570,640,
1401,233,178,177,86
1403,,,,
1415,239,211,181,125
1422,709,639,621,559
1424,100,62,48,18
1425,11,6,5,2
1426,499,408,441,417
1427,949,916,880,795
1429,182,136,160,187
1430,898,907,871,712
1431,95,137,138,123
1433,267,383,410,438
1434,799,874,888,
1435,883,735,690,713
1436,354,317,313,222
1439,490,407,424,641
1442,721,612,572,534
1443,,,,
1445,409,458,473,
1446,305,241,254,286
1451,114,133,150,232
1452,6,2,2,1
1453,479,468,444,357
1455,252,319,352,317
1458,705,782,778,626
1459,137,195,185,159
1464,829,908,882,794
1465,312,246,192,113
1473,215,204,180,197
1477,788,803,768,
1485,776,854,841,759
1486,446,480,507,579
1487,201,206,239,263
1488,594,629,620,622
1489,946,929,913,
1492,338,321,268,140
1493,344,254,330,371
1498,762,637,580,572
1499,677,718,795,754
1500,258,304,312,181
1503,87,233,332,395
1504,447,428,453,469
1505,922,958,940,
1508,277,324,359,312
1509,585,528,,
1510,480,567,551,582
1511,604,619,593,444
1512,17,53,94,106
1513,860,815,803,681
1514,2,4,4,12
1515,809,767,731,677
1516,166,340,337,
1523,555,558,505,424
1528,766,713,685,632
1529,452,462,449,367
1543,257,322,310,359
1544,886,885,858,758
1548,716,750,806,742
1553,510,545,530,431
1554,169,157,182,173
1555,160,179,147,102
1556,765,813,776,728
1565,284,303,256,266
1566,464,479,483,477
1567,409,356,356,246
1568,339,216,209,191
1569,,,,
1570,887,899,886,778
1571,701,672,692,652
1572,862,924,906,
1573,449,533,565,523
1574,203,269,300,420
1578,4,8,10,45
1588,218,165,163,196
1591,668,645,687,593
1592,660,673,691,592
1597,,,,
1600,361,415,,
1601,68,113,102,96
1602,746,782,758,678
1603,,,,
1605,439,364,290,259
1606,618,544,501,401
1607,38,29,24,60
1609,186,348,347,214
1610,104,75,77,108
1613,247,244,210,134
1614,656,632,606,619
1615,551,622,585,700
1616,22,29,33,15
1618,533,651,,
1622,508,417,384,331
1628,620,671,655,588
1630,690,659,637,668
1631,785,797,777,673
1633,126,143,198,227
1634,198,156,133,121
1641,,,,
1643,286,256,248,274
1644,555,605,642,
1647,471,497,587,580
1651,633,434,380,463
1652,342,382,375,362
1664,836,746,697,732
1668,852,817,746,627
1671,274,311,393,
1676,497,537,520,505
1677,136,88,88,85
1684,444,515,472,604
1686,819,927,925,
1687,57,64,75,65
1689,847,744,761,
1692,935,905,879,
1695,356,307,257,174
1699,972,968,928,
1702,979,967,943,
1703,27,11,28,14
1705,617,584,608,479
1706,951,946,926,807
1708,413,287,241,260
1710,522,501,485,515
1714,279,351,365,399
1715,157,219,263,275
1718,,,,
1720,375,371,416,539
1727,460,769,797,725
1729,127,134,116,93
1730,977,974,950,
1733,289,336,346,354
1737,147,169,206,223
1738,354,420,440,540
1739,133,128,150,210
1740,390,445,468,412
1743,276,308,298,311
1751,91,77,66,44
1754,804,753,765,779
1763,956,951,908,810
1764,341,511,568,709
1766,478,454,436,402
1768,209,254,317,445
1773,433,441,500,447
1774,985,944,911,
1775,,,,
1776,639,562,552,508
1778,816,790,779,747
1781,484,431,421,440
1782,216,189,213,225
1784,24,16,14,21
1785,425,490,496,516
1794,562,656,670,614
1804,736,691,649,468
1805,70,50,31,19
1813,614,561,594,612
1816,,,,
1817,263,232,221,285
1821,890,923,861,801
1822,633,780,752,664
1829,672,720,730,694
1830,720,673,,
1832,797,799,784,684
1833,415,384,413,484
1834,929,862,835,
1836,511,461,535,649
1837,942,943,,
1839,,,,
1840,875,816,816,785
1842,59,55,71,68
1843,753,699,714,661
1844,669,716,774,
1847,900,883,843,
1848,937,959,,
1850,206,334,349,451
1853,461,498,474,435
1854,119,94,118,167
1855,326,314,293,283
1859,329,333,373,377
1864,848,764,721,630
1867,748,792,762,691
1870,544,492,481,482
1871,343,423,475,522
1872,534,490,510,520
1877,917,866,830,
1878,740,683,667,555
1883,231,245,296,499
1885,265,248,193,129
1886,916,963,935,
1887,837,825,796,722
1888,548,512,502,502
1889,419,380,426,426
1890,918,914,874,774
1891,364,379,419,525
1892,500,501,477,374
1893,525,482,465,411
1895,,,,
1896,541,615,652,715
1897,185,291,401,407
1898,200,190,201,272
1899,575,559,561,606
1900,520,447,457,643
1901,546,536,586,524
1902,628,701,,
1903,578,534,513,439
1906,864,779,739,583
1907,296,438,480,485
1908,653,538,464,437
1909,487,507,489,551
1910,955,909,870,765
1911,701,597,613,596
1912,46,49,55,83
1913,95,111,111,109
1914,727,617,564,518
1916,611,539,576,671
1917,408,365,343,396
1918,628,625,660,577
1919,531,500,526,576
1920,545,548,538,510
1922,488,493,555,693
1923,15,10,19,25
1927,806,711,686,
1928,775,794,834,780
1929,850,895,855,598
1932,,,,
1933,439,371,454,369
1934,952,960,923,812
1936,140,222,303,492
1937,724,703,662,624
1939,190,141,150,201
1943,367,299,314,327
1946,63,81,112,145
1947,644,616,603,554
1950,991,978,947,819
1953,992,994,962,
1967,111,98,83,79
1968,919,953,,
1969,600,636,650,585
1970,879,891,,
1971,716,788,787,
1972,747,728,729,
1973,715,650,661,608
